
** get_Rfile_ascii_table_params: lline: 23
** get_Rfile_ascii_table_params: number of columns: 11 from header line:
['iteration', 'logPost', 'stepSize', 'cycleSpinRow', 'cycleSpinCol', 'smoothingParam0', 'smoothingParam1', 'smoothingParam2', 'smoothingParam3', 'smoothingParam4', 'expectedMSCounts']
** get_Rfile_ascii_table_params: lline: 258 ['235', '-1487.6', '25.47346851', '7', '1', '0.081167', '0.098917', '0.143783', '0.130756', '0.126178', '337.463']

** get_Rfile_ascii_table_params: lline: 259 ['236', '-1519.38', '-31.77866217', '20', '12', '0.089518', '0.139286', '0.049608', '0.165905', '0.106296', '314.479']

** get_Rfile_ascii_table_params: lline: 260 ['237', '-1530.47', '-11.089441', '9', '11', '0.099115', '0.130638', '0.143292', '0.114362', '0.067214', '315.586']

** get_Rfile_ascii_table_params: lline: 261 ['238', '-1615.06', '-84.58454273', '27', '3', '0.034705', '0.118221', '0.068780', '0.095036', '0.067447', '311.151']

** get_Rfile_ascii_table_params: lline: 262 ['239', '-1544.12', '70.935627', '29', '1', '0.056317', '0.162468', '0.160212', '0.103270', '0.107632', '342.963']

** get_Rfile_ascii_table_params: lline: 263 ['240', '-1526.34', '17.78037733', '10', '26', '0.069834', '0.132331', '0.080894', '0.108161', '0.058788', '338.792']

** get_Rfile_ascii_table_params: lline: 264 ['241', '-1565.79', '-39.44990785', '19', '21', '0.129089', '0.113015', '0.055331', '0.143490', '0.079959', '304.566']

** get_Rfile_ascii_table_params: lline: 265 ['242', '-1603.64', '-37.848727', '23', '31', '0.060383', '0.088430', '0.136016', '0.070406', '0.109183', '324.765']

** get_Rfile_ascii_table_params: lline: 266 ['243', '-1556.84', '46.80336264', '25', '11', '0.065731', '0.088504', '0.158795', '0.128357', '0.132552', '312.396']

** get_Rfile_ascii_table_params: lline: 267 ['244', '-1478.68', '78.15808415', '19', '10', '0.066611', '0.077981', '0.092473', '0.151466', '0.133018', '345.748']

** get_Rfile_ascii_table_params: lline: 268 ['245', '-1497.25', '-18.56648409', '8', '0', '0.121375', '0.145029', '0.153030', '0.074802', '0.087295', '365.327']

** get_Rfile_ascii_table_params: lline: 269 ['246', '-1564', '-66.75793303', '25', '2', '0.074999', '0.080036', '0.071563', '0.108863', '0.083165', '301.78']

** get_Rfile_ascii_table_params: lline: 270 ['247', '-1570.65', '-6.650618146', '14', '28', '0.146688', '0.123235', '0.157926', '0.127614', '0.112384', '328.864']

** get_Rfile_ascii_table_params: lline: 271 ['248', '-1629.61', '-58.95765161', '27', '7', '0.079023', '0.168804', '0.049415', '0.131083', '0.084951', '347.799']

** get_Rfile_ascii_table_params: lline: 272 ['249', '-1566.06', '63.55494757', '13', '29', '0.060212', '0.123599', '0.138287', '0.142838', '0.053381', '362.806']

** get_Rfile_ascii_table_params: lline: 273 ['250', '-1574.86', '-8.804551411', '7', '28', '0.086341', '0.139920', '0.128112', '0.070166', '0.149386', '367.667']

** get_Rfile_ascii_table_params: lline: 274 ['251', '-1592.47', '-17.61105466', '13', '15', '0.127403', '0.094570', '0.110210', '0.091990', '0.115904', '388.287']

** get_Rfile_ascii_table_params: lline: 275 ['252', '-1636.11', '-43.63717466', '21', '24', '0.071981', '0.155043', '0.145504', '0.110831', '0.057082', '352.627']

** get_Rfile_ascii_table_params: lline: 276 ['253', '-1563.7', '72.41153061', '9', '27', '0.064250', '0.128630', '0.101053', '0.129016', '0.073538', '354.357']

** get_Rfile_ascii_table_params: lline: 277 ['254', '-1530.08', '33.62242304', '4', '20', '0.099693', '0.164907', '0.081227', '0.068765', '0.173935', '326.581']

** get_Rfile_ascii_table_params: lline: 278 ['255', '-1551.15', '-21.07318056', '10', '3', '0.065845', '0.126900', '0.122023', '0.098079', '0.135020', '326.936']

** get_Rfile_ascii_table_params: lline: 279 ['256', '-1532.86', '18.28874609', '7', '28', '0.113815', '0.116887', '0.072145', '0.153163', '0.148146', '305.656']

