
** get_Rfile_ascii_table_params: lline: 23
** get_Rfile_ascii_table_params: number of columns: 11 from header line:
['iteration', 'logPost', 'stepSize', 'cycleSpinRow', 'cycleSpinCol', 'smoothingParam0', 'smoothingParam1', 'smoothingParam2', 'smoothingParam3', 'smoothingParam4', 'expectedMSCounts']

* image_in:  391  InMCMCParams[0:1][image_in]:  6.0 6.0

* image_in:  392  InMCMCParams[0:1][image_in]:  19.0 1.0

* image_in:  393  InMCMCParams[0:1][image_in]:  31.0 23.0

* image_in:  394  InMCMCParams[0:1][image_in]:  27.0 18.0

* image_in:  395  InMCMCParams[0:1][image_in]:  23.0 19.0

* image_in:  396  InMCMCParams[0:1][image_in]:  12.0 31.0

* image_in:  397  InMCMCParams[0:1][image_in]:  31.0 2.0

* image_in:  398  InMCMCParams[0:1][image_in]:  16.0 6.0

* image_in:  399  InMCMCParams[0:1][image_in]:  9.0 13.0

* image_in:  400  InMCMCParams[0:1][image_in]:  25.0 30.0

* image_in:  401  InMCMCParams[0:1][image_in]:  6.0 26.0

* image_in:  402  InMCMCParams[0:1][image_in]:  9.0 14.0

* image_in:  403  InMCMCParams[0:1][image_in]:  26.0 13.0

* image_in:  404  InMCMCParams[0:1][image_in]:  21.0 11.0

* image_in:  405  InMCMCParams[0:1][image_in]:  24.0 9.0

* image_in:  406  InMCMCParams[0:1][image_in]:  8.0 22.0

* image_in:  407  InMCMCParams[0:1][image_in]:  3.0 7.0

* image_in:  408  InMCMCParams[0:1][image_in]:  27.0 21.0

* image_in:  409  InMCMCParams[0:1][image_in]:  14.0 3.0

* image_in:  410  InMCMCParams[0:1][image_in]:  17.0 4.0

* image_in:  411  InMCMCParams[0:1][image_in]:  19.0 14.0

* image_in:  412  InMCMCParams[0:1][image_in]:  29.0 19.0

* image_in:  413  InMCMCParams[0:1][image_in]:  27.0 16.0

* image_in:  414  InMCMCParams[0:1][image_in]:  6.0 1.0

* image_in:  415  InMCMCParams[0:1][image_in]:  4.0 26.0

* image_in:  416  InMCMCParams[0:1][image_in]:  7.0 3.0

* image_in:  417  InMCMCParams[0:1][image_in]:  30.0 30.0

* image_in:  418  InMCMCParams[0:1][image_in]:  16.0 18.0

* image_in:  419  InMCMCParams[0:1][image_in]:  3.0 26.0

* image_in:  420  InMCMCParams[0:1][image_in]:  7.0 27.0

* image_in:  421  InMCMCParams[0:1][image_in]:  24.0 18.0

* image_in:  422  InMCMCParams[0:1][image_in]:  2.0 9.0

* image_in:  423  InMCMCParams[0:1][image_in]:  27.0 31.0

* image_in:  424  InMCMCParams[0:1][image_in]:  3.0 19.0

* image_in:  425  InMCMCParams[0:1][image_in]:  6.0 6.0

* image_in:  426  InMCMCParams[0:1][image_in]:  3.0 5.0

* image_in:  427  InMCMCParams[0:1][image_in]:  1.0 7.0

* image_in:  428  InMCMCParams[0:1][image_in]:  2.0 9.0

* image_in:  429  InMCMCParams[0:1][image_in]:  22.0 27.0

* image_in:  430  InMCMCParams[0:1][image_in]:  4.0 31.0

* image_in:  431  InMCMCParams[0:1][image_in]:  22.0 0.0

* image_in:  432  InMCMCParams[0:1][image_in]:  29.0 0.0

* image_in:  433  InMCMCParams[0:1][image_in]:  7.0 25.0

* image_in:  434  InMCMCParams[0:1][image_in]:  28.0 30.0

* image_in:  435  InMCMCParams[0:1][image_in]:  5.0 5.0

* image_in:  436  InMCMCParams[0:1][image_in]:  4.0 28.0

* image_in:  437  InMCMCParams[0:1][image_in]:  2.0 4.0

* image_in:  438  InMCMCParams[0:1][image_in]:  16.0 13.0

* image_in:  439  InMCMCParams[0:1][image_in]:  24.0 19.0

* image_in:  440  InMCMCParams[0:1][image_in]:  18.0 11.0

* image_in:  441  InMCMCParams[0:1][image_in]:  30.0 23.0

* image_in:  442  InMCMCParams[0:1][image_in]:  26.0 15.0

* image_in:  443  InMCMCParams[0:1][image_in]:  22.0 29.0

* image_in:  444  InMCMCParams[0:1][image_in]:  21.0 31.0

* image_in:  445  InMCMCParams[0:1][image_in]:  12.0 19.0

* image_in:  446  InMCMCParams[0:1][image_in]:  7.0 6.0

* image_in:  447  InMCMCParams[0:1][image_in]:  31.0 25.0

* image_in:  448  InMCMCParams[0:1][image_in]:  13.0 24.0

* image_in:  449  InMCMCParams[0:1][image_in]:  5.0 17.0

* image_in:  450  InMCMCParams[0:1][image_in]:  6.0 13.0

* image_in:  451  InMCMCParams[0:1][image_in]:  19.0 17.0

* image_in:  452  InMCMCParams[0:1][image_in]:  22.0 9.0

* image_in:  453  InMCMCParams[0:1][image_in]:  30.0 27.0

* image_in:  454  InMCMCParams[0:1][image_in]:  3.0 31.0

* image_in:  455  InMCMCParams[0:1][image_in]:  16.0 28.0

* image_in:  456  InMCMCParams[0:1][image_in]:  20.0 11.0

* image_in:  457  InMCMCParams[0:1][image_in]:  17.0 3.0

* image_in:  458  InMCMCParams[0:1][image_in]:  30.0 6.0

* image_in:  459  InMCMCParams[0:1][image_in]:  22.0 25.0

* image_in:  460  InMCMCParams[0:1][image_in]:  30.0 16.0

* image_in:  461  InMCMCParams[0:1][image_in]:  17.0 10.0

* image_in:  462  InMCMCParams[0:1][image_in]:  26.0 27.0

* image_in:  463  InMCMCParams[0:1][image_in]:  29.0 4.0

* image_in:  464  InMCMCParams[0:1][image_in]:  14.0 0.0

* image_in:  465  InMCMCParams[0:1][image_in]:  12.0 2.0

* image_in:  466  InMCMCParams[0:1][image_in]:  25.0 21.0

* image_in:  467  InMCMCParams[0:1][image_in]:  2.0 29.0

* image_in:  468  InMCMCParams[0:1][image_in]:  12.0 7.0

* image_in:  469  InMCMCParams[0:1][image_in]:  1.0 0.0

* image_in:  470  InMCMCParams[0:1][image_in]:  8.0 1.0

* image_in:  471  InMCMCParams[0:1][image_in]:  0.0 1.0

* image_in:  472  InMCMCParams[0:1][image_in]:  14.0 30.0

* image_in:  473  InMCMCParams[0:1][image_in]:  31.0 31.0

* image_in:  474  InMCMCParams[0:1][image_in]:  27.0 2.0

* image_in:  475  InMCMCParams[0:1][image_in]:  31.0 10.0

* image_in:  476  InMCMCParams[0:1][image_in]:  31.0 4.0

* image_in:  477  InMCMCParams[0:1][image_in]:  12.0 22.0

* image_in:  478  InMCMCParams[0:1][image_in]:  10.0 26.0

* image_in:  479  InMCMCParams[0:1][image_in]:  6.0 13.0

* image_in:  480  InMCMCParams[0:1][image_in]:  24.0 9.0

* image_in:  481  InMCMCParams[0:1][image_in]:  15.0 6.0

* image_in:  482  InMCMCParams[0:1][image_in]:  16.0 7.0

* image_in:  483  InMCMCParams[0:1][image_in]:  2.0 14.0

* image_in:  484  InMCMCParams[0:1][image_in]:  10.0 1.0

* image_in:  485  InMCMCParams[0:1][image_in]:  4.0 15.0

* image_in:  486  InMCMCParams[0:1][image_in]:  27.0 9.0

* image_in:  487  InMCMCParams[0:1][image_in]:  10.0 12.0

* image_in:  488  InMCMCParams[0:1][image_in]:  31.0 19.0

* image_in:  489  InMCMCParams[0:1][image_in]:  8.0 14.0

* image_in:  490  InMCMCParams[0:1][image_in]:  30.0 30.0

* image_in:  491  InMCMCParams[0:1][image_in]:  0.0 9.0

* image_in:  492  InMCMCParams[0:1][image_in]:  6.0 14.0

* image_in:  493  InMCMCParams[0:1][image_in]:  25.0 15.0

* image_in:  494  InMCMCParams[0:1][image_in]:  13.0 30.0

* image_in:  495  InMCMCParams[0:1][image_in]:  13.0 25.0

* image_in:  496  InMCMCParams[0:1][image_in]:  4.0 16.0

* image_in:  497  InMCMCParams[0:1][image_in]:  4.0 8.0

* image_in:  498  InMCMCParams[0:1][image_in]:  18.0 19.0

* image_in:  499  InMCMCParams[0:1][image_in]:  20.0 1.0

* image_in:  500  InMCMCParams[0:1][image_in]:  26.0 30.0

* image_in:  501  InMCMCParams[0:1][image_in]:  3.0 12.0

* image_in:  502  InMCMCParams[0:1][image_in]:  24.0 7.0

* image_in:  503  InMCMCParams[0:1][image_in]:  22.0 2.0

* image_in:  504  InMCMCParams[0:1][image_in]:  14.0 22.0

* image_in:  505  InMCMCParams[0:1][image_in]:  13.0 4.0

* image_in:  506  InMCMCParams[0:1][image_in]:  21.0 15.0

* image_in:  507  InMCMCParams[0:1][image_in]:  12.0 19.0

* image_in:  508  InMCMCParams[0:1][image_in]:  18.0 9.0

* image_in:  509  InMCMCParams[0:1][image_in]:  22.0 30.0

* image_in:  510  InMCMCParams[0:1][image_in]:  21.0 31.0

* image_in:  511  InMCMCParams[0:1][image_in]:  28.0 13.0

* image_in:  512  InMCMCParams[0:1][image_in]:  7.0 29.0

* image_in:  513  InMCMCParams[0:1][image_in]:  25.0 12.0

* image_in:  514  InMCMCParams[0:1][image_in]:  13.0 19.0

* image_in:  515  InMCMCParams[0:1][image_in]:  0.0 0.0

* image_in:  516  InMCMCParams[0:1][image_in]:  27.0 7.0

* image_in:  517  InMCMCParams[0:1][image_in]:  13.0 28.0

* image_in:  518  InMCMCParams[0:1][image_in]:  21.0 13.0

* image_in:  519  InMCMCParams[0:1][image_in]:  31.0 24.0

* image_in:  520  InMCMCParams[0:1][image_in]:  15.0 31.0

* image_in:  521  InMCMCParams[0:1][image_in]:  3.0 22.0

* image_in:  522  InMCMCParams[0:1][image_in]:  18.0 12.0

* image_in:  523  InMCMCParams[0:1][image_in]:  6.0 25.0

* image_in:  524  InMCMCParams[0:1][image_in]:  31.0 0.0

* image_in:  525  InMCMCParams[0:1][image_in]:  3.0 15.0

* image_in:  526  InMCMCParams[0:1][image_in]:  14.0 17.0

* image_in:  527  InMCMCParams[0:1][image_in]:  13.0 12.0

* image_in:  528  InMCMCParams[0:1][image_in]:  25.0 7.0

* image_in:  529  InMCMCParams[0:1][image_in]:  2.0 28.0

* image_in:  530  InMCMCParams[0:1][image_in]:  5.0 8.0

* image_in:  531  InMCMCParams[0:1][image_in]:  3.0 12.0

* image_in:  532  InMCMCParams[0:1][image_in]:  21.0 20.0

* image_in:  533  InMCMCParams[0:1][image_in]:  30.0 14.0

* image_in:  534  InMCMCParams[0:1][image_in]:  30.0 21.0

* image_in:  535  InMCMCParams[0:1][image_in]:  18.0 12.0

* image_in:  536  InMCMCParams[0:1][image_in]:  12.0 8.0

* image_in:  537  InMCMCParams[0:1][image_in]:  28.0 18.0

* image_in:  538  InMCMCParams[0:1][image_in]:  10.0 15.0

* image_in:  539  InMCMCParams[0:1][image_in]:  23.0 28.0

* image_in:  540  InMCMCParams[0:1][image_in]:  0.0 4.0

* image_in:  541  InMCMCParams[0:1][image_in]:  30.0 24.0

* image_in:  542  InMCMCParams[0:1][image_in]:  17.0 5.0

* image_in:  543  InMCMCParams[0:1][image_in]:  22.0 26.0

* image_in:  544  InMCMCParams[0:1][image_in]:  23.0 18.0

* image_in:  545  InMCMCParams[0:1][image_in]:  6.0 3.0

* image_in:  546  InMCMCParams[0:1][image_in]:  5.0 28.0

* image_in:  547  InMCMCParams[0:1][image_in]:  27.0 8.0

* image_in:  548  InMCMCParams[0:1][image_in]:  0.0 27.0

* image_in:  549  InMCMCParams[0:1][image_in]:  6.0 3.0

* image_in:  550  InMCMCParams[0:1][image_in]:  19.0 4.0

* image_in:  551  InMCMCParams[0:1][image_in]:  27.0 16.0

* image_in:  552  InMCMCParams[0:1][image_in]:  2.0 24.0

* image_in:  553  InMCMCParams[0:1][image_in]:  15.0 1.0

* image_in:  554  InMCMCParams[0:1][image_in]:  23.0 26.0

* image_in:  555  InMCMCParams[0:1][image_in]:  13.0 10.0

* image_in:  556  InMCMCParams[0:1][image_in]:  9.0 6.0

* image_in:  557  InMCMCParams[0:1][image_in]:  22.0 15.0

* image_in:  558  InMCMCParams[0:1][image_in]:  4.0 6.0

* image_in:  559  InMCMCParams[0:1][image_in]:  15.0 25.0

* image_in:  560  InMCMCParams[0:1][image_in]:  0.0 15.0

* image_in:  561  InMCMCParams[0:1][image_in]:  25.0 7.0

* image_in:  562  InMCMCParams[0:1][image_in]:  12.0 4.0

* image_in:  563  InMCMCParams[0:1][image_in]:  8.0 29.0

* image_in:  564  InMCMCParams[0:1][image_in]:  25.0 5.0

* image_in:  565  InMCMCParams[0:1][image_in]:  21.0 28.0

* image_in:  566  InMCMCParams[0:1][image_in]:  2.0 12.0

* image_in:  567  InMCMCParams[0:1][image_in]:  21.0 15.0

* image_in:  568  InMCMCParams[0:1][image_in]:  28.0 18.0

* image_in:  569  InMCMCParams[0:1][image_in]:  1.0 27.0

* image_in:  570  InMCMCParams[0:1][image_in]:  17.0 1.0

* image_in:  571  InMCMCParams[0:1][image_in]:  4.0 26.0

* image_in:  572  InMCMCParams[0:1][image_in]:  9.0 20.0

* image_in:  573  InMCMCParams[0:1][image_in]:  15.0 4.0

* image_in:  574  InMCMCParams[0:1][image_in]:  5.0 1.0

* image_in:  575  InMCMCParams[0:1][image_in]:  20.0 6.0

* image_in:  576  InMCMCParams[0:1][image_in]:  8.0 19.0

* image_in:  577  InMCMCParams[0:1][image_in]:  21.0 3.0

* image_in:  578  InMCMCParams[0:1][image_in]:  15.0 9.0

* image_in:  579  InMCMCParams[0:1][image_in]:  8.0 7.0

* image_in:  580  InMCMCParams[0:1][image_in]:  2.0 7.0

* image_in:  581  InMCMCParams[0:1][image_in]:  20.0 11.0

* image_in:  582  InMCMCParams[0:1][image_in]:  22.0 25.0

* image_in:  583  InMCMCParams[0:1][image_in]:  27.0 13.0

* image_in:  584  InMCMCParams[0:1][image_in]:  29.0 5.0

* image_in:  585  InMCMCParams[0:1][image_in]:  23.0 11.0

* image_in:  586  InMCMCParams[0:1][image_in]:  16.0 23.0

* image_in:  587  InMCMCParams[0:1][image_in]:  17.0 20.0

* image_in:  588  InMCMCParams[0:1][image_in]:  31.0 20.0

* image_in:  589  InMCMCParams[0:1][image_in]:  18.0 23.0

* image_in:  590  InMCMCParams[0:1][image_in]:  14.0 8.0

* image_in:  591  InMCMCParams[0:1][image_in]:  16.0 21.0

* image_in:  592  InMCMCParams[0:1][image_in]:  8.0 11.0

* image_in:  593  InMCMCParams[0:1][image_in]:  3.0 8.0

* image_in:  594  InMCMCParams[0:1][image_in]:  7.0 13.0

* image_in:  595  InMCMCParams[0:1][image_in]:  8.0 23.0

* image_in:  596  InMCMCParams[0:1][image_in]:  4.0 10.0

* image_in:  597  InMCMCParams[0:1][image_in]:  18.0 22.0

* image_in:  598  InMCMCParams[0:1][image_in]:  26.0 15.0

* image_in:  599  InMCMCParams[0:1][image_in]:  22.0 8.0

* image_in:  600  InMCMCParams[0:1][image_in]:  9.0 17.0

* image_in:  601  InMCMCParams[0:1][image_in]:  6.0 23.0

* image_in:  602  InMCMCParams[0:1][image_in]:  12.0 26.0

* image_in:  603  InMCMCParams[0:1][image_in]:  16.0 7.0

* image_in:  604  InMCMCParams[0:1][image_in]:  22.0 15.0

* image_in:  605  InMCMCParams[0:1][image_in]:  6.0 13.0

* image_in:  606  InMCMCParams[0:1][image_in]:  9.0 29.0

* image_in:  607  InMCMCParams[0:1][image_in]:  1.0 30.0

* image_in:  608  InMCMCParams[0:1][image_in]:  27.0 13.0

* image_in:  609  InMCMCParams[0:1][image_in]:  13.0 12.0

* image_in:  610  InMCMCParams[0:1][image_in]:  15.0 23.0

* image_in:  611  InMCMCParams[0:1][image_in]:  0.0 27.0

* image_in:  612  InMCMCParams[0:1][image_in]:  9.0 4.0

* image_in:  613  InMCMCParams[0:1][image_in]:  20.0 0.0

* image_in:  614  InMCMCParams[0:1][image_in]:  9.0 26.0

* image_in:  615  InMCMCParams[0:1][image_in]:  30.0 11.0

* image_in:  616  InMCMCParams[0:1][image_in]:  29.0 12.0

* image_in:  617  InMCMCParams[0:1][image_in]:  19.0 23.0

* image_in:  618  InMCMCParams[0:1][image_in]:  1.0 31.0

* image_in:  619  InMCMCParams[0:1][image_in]:  8.0 16.0

* image_in:  620  InMCMCParams[0:1][image_in]:  20.0 28.0

* image_in:  621  InMCMCParams[0:1][image_in]:  20.0 2.0

* image_in:  622  InMCMCParams[0:1][image_in]:  5.0 20.0

* image_in:  623  InMCMCParams[0:1][image_in]:  16.0 28.0

* image_in:  624  InMCMCParams[0:1][image_in]:  23.0 11.0

* image_in:  625  InMCMCParams[0:1][image_in]:  23.0 27.0

* image_in:  626  InMCMCParams[0:1][image_in]:  3.0 26.0

* image_in:  627  InMCMCParams[0:1][image_in]:  11.0 23.0

* image_in:  628  InMCMCParams[0:1][image_in]:  8.0 1.0

* image_in:  629  InMCMCParams[0:1][image_in]:  29.0 26.0

* image_in:  630  InMCMCParams[0:1][image_in]:  3.0 28.0

* image_in:  631  InMCMCParams[0:1][image_in]:  24.0 11.0

* image_in:  632  InMCMCParams[0:1][image_in]:  9.0 26.0

* image_in:  633  InMCMCParams[0:1][image_in]:  1.0 6.0

* image_in:  634  InMCMCParams[0:1][image_in]:  26.0 11.0

* image_in:  635  InMCMCParams[0:1][image_in]:  0.0 25.0

* image_in:  636  InMCMCParams[0:1][image_in]:  25.0 23.0

* image_in:  637  InMCMCParams[0:1][image_in]:  24.0 31.0

* image_in:  638  InMCMCParams[0:1][image_in]:  1.0 1.0

* image_in:  639  InMCMCParams[0:1][image_in]:  10.0 30.0

* image_in:  640  InMCMCParams[0:1][image_in]:  26.0 31.0

* image_in:  641  InMCMCParams[0:1][image_in]:  28.0 29.0

* image_in:  642  InMCMCParams[0:1][image_in]:  13.0 31.0

* image_in:  643  InMCMCParams[0:1][image_in]:  13.0 22.0

* image_in:  644  InMCMCParams[0:1][image_in]:  19.0 28.0

* image_in:  645  InMCMCParams[0:1][image_in]:  0.0 13.0

* image_in:  646  InMCMCParams[0:1][image_in]:  1.0 16.0

* image_in:  647  InMCMCParams[0:1][image_in]:  20.0 26.0

* image_in:  648  InMCMCParams[0:1][image_in]:  29.0 3.0

* image_in:  649  InMCMCParams[0:1][image_in]:  11.0 31.0

* image_in:  650  InMCMCParams[0:1][image_in]:  9.0 15.0

* image_in:  651  InMCMCParams[0:1][image_in]:  9.0 10.0

* image_in:  652  InMCMCParams[0:1][image_in]:  30.0 2.0

* image_in:  653  InMCMCParams[0:1][image_in]:  27.0 25.0

* image_in:  654  InMCMCParams[0:1][image_in]:  8.0 6.0

* image_in:  655  InMCMCParams[0:1][image_in]:  3.0 12.0

* image_in:  656  InMCMCParams[0:1][image_in]:  22.0 11.0

* image_in:  657  InMCMCParams[0:1][image_in]:  26.0 3.0

* image_in:  658  InMCMCParams[0:1][image_in]:  11.0 1.0

* image_in:  659  InMCMCParams[0:1][image_in]:  17.0 5.0

* image_in:  660  InMCMCParams[0:1][image_in]:  9.0 28.0

* image_in:  661  InMCMCParams[0:1][image_in]:  14.0 2.0

* image_in:  662  InMCMCParams[0:1][image_in]:  4.0 31.0

* image_in:  663  InMCMCParams[0:1][image_in]:  24.0 30.0

* image_in:  664  InMCMCParams[0:1][image_in]:  27.0 24.0

* image_in:  665  InMCMCParams[0:1][image_in]:  22.0 3.0

* image_in:  666  InMCMCParams[0:1][image_in]:  5.0 18.0

* image_in:  667  InMCMCParams[0:1][image_in]:  27.0 7.0

* image_in:  668  InMCMCParams[0:1][image_in]:  19.0 17.0

* image_in:  669  InMCMCParams[0:1][image_in]:  17.0 27.0

* image_in:  670  InMCMCParams[0:1][image_in]:  14.0 30.0

* image_in:  671  InMCMCParams[0:1][image_in]:  31.0 13.0

* image_in:  672  InMCMCParams[0:1][image_in]:  6.0 15.0

* image_in:  673  InMCMCParams[0:1][image_in]:  18.0 0.0

* image_in:  674  InMCMCParams[0:1][image_in]:  7.0 15.0

* image_in:  675  InMCMCParams[0:1][image_in]:  26.0 29.0

* image_in:  676  InMCMCParams[0:1][image_in]:  16.0 5.0

* image_in:  677  InMCMCParams[0:1][image_in]:  7.0 21.0

* image_in:  678  InMCMCParams[0:1][image_in]:  4.0 2.0

* image_in:  679  InMCMCParams[0:1][image_in]:  0.0 21.0

* image_in:  680  InMCMCParams[0:1][image_in]:  15.0 1.0

* image_in:  681  InMCMCParams[0:1][image_in]:  0.0 9.0

* image_in:  682  InMCMCParams[0:1][image_in]:  7.0 11.0

* image_in:  683  InMCMCParams[0:1][image_in]:  11.0 6.0

* image_in:  684  InMCMCParams[0:1][image_in]:  15.0 2.0

* image_in:  685  InMCMCParams[0:1][image_in]:  27.0 9.0

* image_in:  686  InMCMCParams[0:1][image_in]:  16.0 30.0

* image_in:  687  InMCMCParams[0:1][image_in]:  1.0 1.0

* image_in:  688  InMCMCParams[0:1][image_in]:  30.0 22.0

* image_in:  689  InMCMCParams[0:1][image_in]:  10.0 25.0

* image_in:  690  InMCMCParams[0:1][image_in]:  31.0 11.0

* image_in:  691  InMCMCParams[0:1][image_in]:  4.0 3.0

* image_in:  692  InMCMCParams[0:1][image_in]:  30.0 16.0

* image_in:  693  InMCMCParams[0:1][image_in]:  6.0 25.0

* image_in:  694  InMCMCParams[0:1][image_in]:  24.0 2.0

* image_in:  695  InMCMCParams[0:1][image_in]:  29.0 16.0

* image_in:  696  InMCMCParams[0:1][image_in]:  11.0 27.0

* image_in:  697  InMCMCParams[0:1][image_in]:  9.0 30.0

* image_in:  698  InMCMCParams[0:1][image_in]:  13.0 10.0

* image_in:  699  InMCMCParams[0:1][image_in]:  21.0 11.0

* image_in:  700  InMCMCParams[0:1][image_in]:  30.0 21.0

* image_in:  701  InMCMCParams[0:1][image_in]:  31.0 0.0

* image_in:  702  InMCMCParams[0:1][image_in]:  30.0 11.0

* image_in:  703  InMCMCParams[0:1][image_in]:  5.0 3.0

* image_in:  704  InMCMCParams[0:1][image_in]:  24.0 16.0

* image_in:  705  InMCMCParams[0:1][image_in]:  11.0 13.0

* image_in:  706  InMCMCParams[0:1][image_in]:  31.0 8.0

* image_in:  707  InMCMCParams[0:1][image_in]:  14.0 1.0

* image_in:  708  InMCMCParams[0:1][image_in]:  6.0 7.0

* image_in:  709  InMCMCParams[0:1][image_in]:  4.0 28.0

* image_in:  710  InMCMCParams[0:1][image_in]:  29.0 28.0

* image_in:  711  InMCMCParams[0:1][image_in]:  30.0 28.0

* image_in:  712  InMCMCParams[0:1][image_in]:  27.0 15.0

* image_in:  713  InMCMCParams[0:1][image_in]:  14.0 27.0

* image_in:  714  InMCMCParams[0:1][image_in]:  14.0 12.0

* image_in:  715  InMCMCParams[0:1][image_in]:  30.0 29.0

* image_in:  716  InMCMCParams[0:1][image_in]:  4.0 10.0

* image_in:  717  InMCMCParams[0:1][image_in]:  15.0 26.0

* image_in:  718  InMCMCParams[0:1][image_in]:  24.0 19.0

* image_in:  719  InMCMCParams[0:1][image_in]:  10.0 11.0

* image_in:  720  InMCMCParams[0:1][image_in]:  12.0 28.0

* image_in:  721  InMCMCParams[0:1][image_in]:  25.0 21.0

* image_in:  722  InMCMCParams[0:1][image_in]:  4.0 0.0

* image_in:  723  InMCMCParams[0:1][image_in]:  11.0 12.0

* image_in:  724  InMCMCParams[0:1][image_in]:  4.0 28.0

* image_in:  725  InMCMCParams[0:1][image_in]:  31.0 16.0

* image_in:  726  InMCMCParams[0:1][image_in]:  7.0 1.0

* image_in:  727  InMCMCParams[0:1][image_in]:  27.0 11.0

* image_in:  728  InMCMCParams[0:1][image_in]:  13.0 12.0

* image_in:  729  InMCMCParams[0:1][image_in]:  27.0 16.0

* image_in:  730  InMCMCParams[0:1][image_in]:  21.0 4.0

* image_in:  731  InMCMCParams[0:1][image_in]:  16.0 27.0

* image_in:  732  InMCMCParams[0:1][image_in]:  31.0 6.0

* image_in:  733  InMCMCParams[0:1][image_in]:  1.0 25.0

* image_in:  734  InMCMCParams[0:1][image_in]:  27.0 24.0

* image_in:  735  InMCMCParams[0:1][image_in]:  9.0 12.0

* image_in:  736  InMCMCParams[0:1][image_in]:  30.0 10.0

* image_in:  737  InMCMCParams[0:1][image_in]:  10.0 1.0

* image_in:  738  InMCMCParams[0:1][image_in]:  24.0 8.0

* image_in:  739  InMCMCParams[0:1][image_in]:  15.0 17.0

* image_in:  740  InMCMCParams[0:1][image_in]:  23.0 14.0

* image_in:  741  InMCMCParams[0:1][image_in]:  8.0 23.0

* image_in:  742  InMCMCParams[0:1][image_in]:  18.0 12.0

* image_in:  743  InMCMCParams[0:1][image_in]:  25.0 8.0

* image_in:  744  InMCMCParams[0:1][image_in]:  7.0 17.0

* image_in:  745  InMCMCParams[0:1][image_in]:  20.0 26.0

* image_in:  746  InMCMCParams[0:1][image_in]:  20.0 14.0

* image_in:  747  InMCMCParams[0:1][image_in]:  21.0 1.0

* image_in:  748  InMCMCParams[0:1][image_in]:  24.0 6.0

* image_in:  749  InMCMCParams[0:1][image_in]:  27.0 22.0

* image_in:  750  InMCMCParams[0:1][image_in]:  7.0 17.0

* image_in:  751  InMCMCParams[0:1][image_in]:  6.0 20.0

* image_in:  752  InMCMCParams[0:1][image_in]:  25.0 10.0

* image_in:  753  InMCMCParams[0:1][image_in]:  4.0 23.0

* image_in:  754  InMCMCParams[0:1][image_in]:  27.0 11.0

* image_in:  755  InMCMCParams[0:1][image_in]:  31.0 22.0

* image_in:  756  InMCMCParams[0:1][image_in]:  23.0 21.0

* image_in:  757  InMCMCParams[0:1][image_in]:  30.0 12.0

* image_in:  758  InMCMCParams[0:1][image_in]:  26.0 0.0

* image_in:  759  InMCMCParams[0:1][image_in]:  1.0 16.0

* image_in:  760  InMCMCParams[0:1][image_in]:  28.0 24.0

* image_in:  761  InMCMCParams[0:1][image_in]:  4.0 12.0

* image_in:  762  InMCMCParams[0:1][image_in]:  11.0 8.0

* image_in:  763  InMCMCParams[0:1][image_in]:  22.0 6.0

* image_in:  764  InMCMCParams[0:1][image_in]:  24.0 25.0

* image_in:  765  InMCMCParams[0:1][image_in]:  10.0 0.0

* image_in:  766  InMCMCParams[0:1][image_in]:  6.0 18.0

* image_in:  767  InMCMCParams[0:1][image_in]:  20.0 31.0

* image_in:  768  InMCMCParams[0:1][image_in]:  29.0 16.0

* image_in:  769  InMCMCParams[0:1][image_in]:  18.0 5.0

* image_in:  770  InMCMCParams[0:1][image_in]:  22.0 28.0

* image_in:  771  InMCMCParams[0:1][image_in]:  29.0 8.0

* image_in:  772  InMCMCParams[0:1][image_in]:  26.0 26.0

* image_in:  773  InMCMCParams[0:1][image_in]:  1.0 0.0

* image_in:  774  InMCMCParams[0:1][image_in]:  6.0 29.0

* image_in:  775  InMCMCParams[0:1][image_in]:  30.0 23.0

* image_in:  776  InMCMCParams[0:1][image_in]:  10.0 19.0

* image_in:  777  InMCMCParams[0:1][image_in]:  22.0 4.0

* image_in:  778  InMCMCParams[0:1][image_in]:  5.0 2.0

* image_in:  779  InMCMCParams[0:1][image_in]:  0.0 22.0

* image_in:  780  InMCMCParams[0:1][image_in]:  17.0 8.0

* image_in:  781  InMCMCParams[0:1][image_in]:  2.0 27.0

* image_in:  782  InMCMCParams[0:1][image_in]:  11.0 9.0

* image_in:  783  InMCMCParams[0:1][image_in]:  16.0 31.0

* image_in:  784  InMCMCParams[0:1][image_in]:  24.0 31.0

* image_in:  785  InMCMCParams[0:1][image_in]:  26.0 26.0

